dm-deathray2k16 "Deathray Deluxe"
dm-dynamo2k16 "The Dynamo"
dm-extermination2k15 "Final Extermination"
dm-turbo2k15 "Turbocharger"
dm-dismal2k15 "Dismal Outpost"
dm-babel2k16 "Tower of Babel"
dm-violator2k15 "The Violator"
dm-wasteland "The Wasteland"
dm-gauntlet2k16 "Gauntlet Chasm"
dm-bloodfactory2k15 "Blood Factory"
dm-neptune2k15 "Neptune's Lost City"
dm-crucible2k16 "Crucible of Death"
dm-purgatory2k16 "Purgatory"
ctf-cryogenic2k16 "Dawn Of Cryogenics CTF"
ctf-violator2k16 "The Violator CTF"
ctf-extermination2k15 "Final Extermination CTF"
ctf-frost2k15 "Frost Byte CTF"
ctf-zion2k16 "Last Days Of Zion CTF"
tac-impact "Deep Impact"
tac-extermination2k15 "Final Extermination"
0
