dm-extermination "Final Extermination"
dm-goregrinder "The Gore Grinder"
dm-annihilation "Total Annihilation"
dm-deathray "Deathray Deluxe"
dm-zorn2k11 "Destination Zorn"
dm-violator2k11 "The Violator"
dm-dismal2k11 "Dismal Outpost"
dm-bloodfactory2k12 "Blood Factory"
dm-impact "Sudden Impact!"
dm-warmachine2k10 "The Warmachine"
dm-neptune "Neptune's Lost City"
dm-deimos2k9 "Deimos Moon Base"
dm-purgatory "Purgatory"
dm-zion2k9	"Last Days of Zion"
dm-dynamo2k12 "The Dynamo"
dm-liberation "Final Liberation"
dm-invasion "Martian Invasion"
dm-saucer2k9 "The Saucer"
dm-downfall "Downfall of Decades"
dm-chasmatic2k9 "Gauntlet Chasm"
dm-omega2k8 "The Omega Zone"
dm-turbo2k8 "Turbocharger"
dm-eternal "Eternal Alienation"
dm-crucible2k12 "Crucible of Death"
dm-command2k9 "The Command Center"
dm-oblivion	"Club Oblivion"
dm-corrosion "Corrosion"
dm-atlantis2k8 "Atlantis"
dm-furious2k8 "Fury of Phobos"
dm-leviathan2k12 "The Leviathan"
dm-horus "Tomb of Horus"
dm-vesuvius2k11 "The Vesuvius Project"
dm-babel2k11 "The Tower of Babel"
ctf-violator "The Violator CTF"
ctf-extermination "Final Extermination CTF"
ctf-zion2k9 "Last Days of Zion CTF"
ctf-purgatory "Purgatory CTF"
ctf-cryogenic "Dawn of Cryogenics CTF"
ctf-goregrinder "The Goregrinder CTF"
ctf-invasion "Martian Invasion CTF"
ctf-oblivion "Club Oblivion CTF"
ctf-titan2k8 "Titan Station CTF"
ctf-frostbyte "Frost Byte CTF"
ctf-corrosion "Corrosion CTF"
ctf-vesuvius2k11 "Vesuvius Project CTF"
aoa-morpheus "Morpheus Project AOA"
aoa-frost2k9 "Frost Byte AOA"
aoa-zorn "Destination Zorn AOA"
aoa-corrosion "Corrosion AOA"
aoa-atlantis "Atlantis AOA"
db-chromium "Chromium DB"
db-vesuvius "Vesuvius Project DB"
db-icarus "Icarus DB"
tca-cryogenic "Dawn of Cryogenics TCA"
tca-invasion "Martian Invasion TCA"
tca-extermination "Extermination TCA"
tca-titan2k8 "Titan Station TCA"
tca-zion2k9 "Last Days of Zion TCA"
tca-corrosion "Corrosion TCA"
tca-purgatory "Purgatory TCA"
cp-ribeye "Ribeye Steaks Are YUMMY"
0
