dm-goregrinder "The Gore Grinder"
dm-annihilation "Total Annihilation"
dm-deathray "Deathray Deluxe"
dm-zorn2k11 "Destination Zorn"
dm-violator2k11 "The Violator"
dm-dismal2k11 "Dismal Outpost"
dm-impact "Sudden Impact!"
dm-warmachine2k10 "The Warmachine"
dm-neptune "Neptune's Lost City"
dm-deimos2k9 "Deimos Moon Base"
dm-purgatory "Purgatory"
dm-zion2k9	"Last Days of Zion"
dm-dynamo2k8 "The Dynamo"
dm-liberation "Final Liberation"
dm-invasion "Martian Invasion"
dm-saucer2k9 "The Saucer"
dm-downfall "Downfall of Decades"
dm-chasmatic2k9 "Gauntlet Chasm"
dm-omega2k8 "The Omega Zone"
dm-turbo2k8 "Turbocharger"
dm-eternal "Eternal Alienation"
dm-crucible2k8 "Crucible of Death"
dm-command2k9 "The Command Center"
dm-oblivion	"Club Oblivion"
dm-corrosion "Corrosion"
dm-atlantis2k8 "Atlantis"
dm-furious2k8 "Fury of Phobos"
dm-leviathan2k8 "The Leviathan"
dm-bloodfactory "Blood Factory"
dm-horus "Tomb of Horus"
dm-vesuvius2k11 "The Vesuvius Project"
dm-babel2k11 "The Tower of Babel"
ctf-violator "The Violator CTF"
ctf-cryogenic "Dawn of Cryogenics CTF"
ctf-invasion "Martian Invasion CTF"
ctf-oblivion "Club Oblivion CTF"
ctf-titan2k8 "Titan Station CTF"
ctf-frostbyte "Frost Bye CTF"
ctf-corrosion "Corrosion CTF"
ctf-vesuvius "Vesuvius Project CTF"
aoa-morpheus "Morpheus Project AOA"
aoa-frost2k9 "Frost Byte AOA"
aoa-zorn "Destination Zorn AOA"
aoa-corrosion "Corrosion AOA"
aoa-atlantis "Atlantis AOA"
db-chromium "Chromium DB"
db-vesuvius "Vesuvius Project DB"
db-icarus "Icarus DB"
tca-cryogenic "Dawn of Cryogenics TCA"
tca-titan2k8 "Titan Station TCA"
tca-zion "Last Days of Zion TCA"
tca-corrosion "Corrosion TCA"
tca-europa2k8 "Europa Station TCA"
tca-frost "Frost Byte TCA"
cp-ribeye "Ribeye Steaks Are YUMMY"
